serial_number,date,ai_result,wav_data
ITRI0001001,2024-11-13,37.00000,2024-11-13T143531
ITRI0001001,2024-11-13,11.00000,2024-11-13T143429
ITRI0001001,2024-11-13,18.00000,2024-11-13T143423
ITRI0001001,2024-11-13,18.00000,2024-11-13T143345
ITRI0001001,2024-11-13,18.00000,2024-11-13T143337
ITRI0001001,2024-11-13,11.00000,2024-11-13T143119
ITRI0000005,2024-11-13,36.00000,2024-11-13T143058
ITRI0000005,2024-11-13,36.00000,2024-11-13T143058
ITRI0000005,2024-11-13,28.00000,2024-11-13T143053
ITRI0000005,2024-11-13,28.00000,2024-11-13T143053
ITRI0001001,2024-11-13,18.00000,2024-11-13T143035
ITRI0001001,2024-11-13,18.00000,2024-11-13T143024
ITRI0001001,2024-11-13,18.00000,2024-11-13T142919
ITRI0001001,2024-11-13,10.00000,2024-11-13T142719
ITRI0001001,2024-11-13,11.00000,2024-11-13T142432
ITRI0001001,2024-11-13,30.00000,2024-11-13T141529
ITRI0001001,2024-11-13,18.00000,2024-11-13T141413
ITRI0001001,2024-11-13,10.00000,2024-11-13T140439
ITRI0000005,2024-11-13,38.00000,2024-11-13T113259
ITRI0000005,2024-11-13,38.00000,2024-11-13T113259
ITRI0000005,2024-11-13,40.00000,2024-11-13T113251
ITRI0000005,2024-11-13,40.00000,2024-11-13T113251
ITRI0011001,2024-11-13,10.00000,2024-11-13T100414
ITRI0011001,2024-11-13,10.00000,2024-11-13T100243
ITRI0011001,2024-11-13,14.00000,2024-11-13T100213
ITRI0011001,2024-11-13,13.00000,2024-11-13T100208
ITRI0011001,2024-11-13,14.00000,2024-11-13T100131
ITRI0011001,2024-11-13,14.00000,2024-11-13T100103
ITRI0011001,2024-11-13,18.00000,2024-11-13T100058
ITRI0011001,2024-11-13,18.00000,2024-11-13T100010
ITRI0011001,2024-11-13,18.00000,2024-11-13T095358
ITRI0011001,2024-11-13,18.00000,2024-11-13T095353
ITRI0011001,2024-11-13,18.00000,2024-11-13T095322
ITRI0011001,2024-11-13,18.00000,2024-11-13T095317
ITRI0011001,2024-11-13,16.00000,2024-11-13T095312
ITRI0011001,2024-11-13,18.00000,2024-11-13T095244
ITRI0011001,2024-11-13,18.00000,2024-11-13T095240
ITRI0011001,2024-11-13,18.00000,2024-11-13T095235
ITRI0011001,2024-11-13,18.00000,2024-11-13T095207
ITRI0011001,2024-11-13,18.00000,2024-11-13T095134
ITRI0011001,2024-11-13,18.00000,2024-11-13T095106
ITRI0011001,2024-11-13,18.00000,2024-11-13T095101
ITRI0011001,2024-11-13,18.00000,2024-11-13T095000
ITRI0011001,2024-11-13,18.00000,2024-11-13T094936
ITRI0011001,2024-11-13,18.00000,2024-11-13T094930
ITRI0011001,2024-11-13,18.00000,2024-11-13T094912
ITRI0011001,2024-11-13,18.00000,2024-11-13T094844
ITRI0011001,2024-11-13,18.00000,2024-11-13T094839
ITRI0011001,2024-11-13,18.00000,2024-11-13T094814
ITRI0011001,2024-11-13,18.00000,2024-11-13T094809
ITRI0011001,2024-11-13,36.00000,2024-11-13T094804
ITRI0011001,2024-11-13,18.00000,2024-11-13T094726
ITRI0011001,2024-11-13,18.00000,2024-11-13T094720
ITRI0011001,2024-11-13,11.00000,2024-11-13T094517
ITRI0003003,2024-11-12,27.00000,2024-11-12T152431
ITRI0003003,2024-11-12,11.00000,2024-11-12T152334
ITRI0003003,2024-11-12,16.00000,2024-11-12T152024
ITRI0005001,2024-11-12,13.00000,2024-11-12T152018
ITRI0003003,2024-11-12,10.00000,2024-11-12T151956
ITRI0005001,2024-11-12,16.00000,2024-11-12T151939
ITRI0005001,2024-11-12,10.00000,2024-11-12T151839
ITRI0003003,2024-11-12,18.00000,2024-11-12T151218
ITRI0005001,2024-11-12,18.00000,2024-11-12T150031
ITRI0003003,2024-11-12,18.00000,2024-11-12T150122
ITRI0003003,2024-11-12,18.00000,2024-11-12T150117
ITRI0003003,2024-11-12,18.00000,2024-11-12T150112
ITRI0003003,2024-11-12,37.00000,2024-11-12T145938
ITRI0003003,2024-11-12,20.00000,2024-11-12T145934
ITRI0005001,2024-11-12,11.00000,2024-11-12T145929
ITRI0003003,2024-11-12,31.00000,2024-11-12T145906
ITRI0003003,2024-11-12,18.00000,2024-11-12T145834
ITRI0003003,2024-11-12,18.00000,2024-11-12T145829
ITRI0003003,2024-11-12,18.00000,2024-11-12T145824
ITRI0003003,2024-11-12,10.00000,2024-11-12T145752
ITRI0003003,2024-11-12,13.00000,2024-11-12T145718
ITRI0003003,2024-11-12,11.00000,2024-11-12T145657
ITRI0003003,2024-11-12,13.00000,2024-11-12T145651
ITRI0003003,2024-11-12,15.00000,2024-11-12T120053
ITRI0003003,2024-11-12,33.00000,2024-11-12T120002
ITRI0003003,2024-11-12,40.00000,2024-11-12T115958
ITRI0003003,2024-11-12,18.00000,2024-11-12T115742
ITRI0003003,2024-11-12,10.00000,2024-11-12T115735
ITRI0003003,2024-11-12,33.00000,2024-11-12T115401
ITRI0003003,2024-11-12,31.00000,2024-11-12T115356
ITRI0003003,2024-11-12,35.00000,2024-11-12T115352
ITRI0003003,2024-11-12,31.00000,2024-11-12T115346
ITRI0005001,2024-11-12,18.00000,2024-11-12T103740
ITRI0005001,2024-11-12,18.00000,2024-11-12T103642
ITRI0005001,2024-11-12,19.00000,2024-11-12T103627
ITRI0005001,2024-11-12,18.00000,2024-11-12T103543
ITRI0005001,2024-11-12,13.00000,2024-11-12T103522
ITRI0000005,2024-11-12,18.00000,2024-11-12T101438
ITRI0000005,2024-11-12,18.00000,2024-11-12T101438
ITRI0005001,2024-11-11,10.00000,2024-11-11T155616
ITRI0005001,2024-11-11,10.00000,2024-11-11T155244
ITRI0003003,2024-11-11,10.00000,2024-11-11T144409
ITRI0003003,2024-11-11,17.00000,2024-11-11T144025
ITRI0003003,2024-11-11,34.00000,2024-11-11T144018
ITRI0003003,2024-11-11,17.00000,2024-11-11T143930
ITRI0003003,2024-11-11,18.00000,2024-11-11T143850
ITRI0003003,2024-11-11,18.00000,2024-11-11T143845
ITRI0003003,2024-11-11,29.00000,2024-11-11T143739
ITRI0003003,2024-11-11,18.00000,2024-11-11T101355
ITRI0001001,2024-11-10,28.00000,2024-11-10T143641
ITRI0001001,2024-11-10,18.00000,2024-11-10T143632
ITRI0001001,2024-11-10,18.00000,2024-11-10T143602
ITRI0001001,2024-11-10,18.00000,2024-11-10T143555
ITRI0001001,2024-11-10,18.00000,2024-11-10T143548
ITRI0005001,2024-11-08,18.00000,2024-11-08T145623
ITRI0005001,2024-11-08,18.00000,2024-11-08T142958
ITRI0005001,2024-11-08,29.00000,2024-11-08T142954
ITRI0005001,2024-11-08,18.00000,2024-11-08T142939
ITRI0005001,2024-11-08,18.00000,2024-11-08T142932
ITRI0005001,2024-11-08,35.00000,2024-11-08T142917
ITRI0005001,2024-11-08,29.00000,2024-11-08T142826
ITRI0005001,2024-11-08,18.00000,2024-11-08T142732
ITRI0003003,2024-11-08,10.00000,2024-11-08T133335
ITRI0003003,2024-11-08,10.00000,2024-11-08T133328
ITRI0003003,2024-11-08,18.00000,2024-11-08T120856
ITRI0003003,2024-11-08,18.00000,2024-11-08T120851
ITRI0000007,2024-11-08,11.00000,2024-11-08T103217
ITRI0000007,2024-11-08,22.00000,2024-11-08T103133
ITRI0000007,2024-11-08,10.00000,2024-11-08T103107
ITRI0000007,2024-11-08,33.00000,2024-11-08T102542
ITRI0000007,2024-11-08,32.00000,2024-11-08T102538
ITRI0003004,2024-11-07,33.00000,2024-11-07T141118
ITRI0005001,2024-11-07,18.00000,2024-11-07T140830
ITRI0011003,2024-11-07,18.00000,2024-11-07T110107
ITRI0000007,2024-11-07,31.00000,2024-11-07T101357
ITRI0000007,2024-11-07,35.00000,2024-11-07T101354
ITRI0000007,2024-11-07,20.00000,2024-11-07T101324
ITRI0000007,2024-11-07,10.00000,2024-11-07T101317
ITRI0000007,2024-11-07,23.00000,2024-11-07T101251
ITRI0000007,2024-11-07,14.00000,2024-11-07T101132
ITRI0000007,2024-11-07,14.00000,2024-11-07T101128
ITRI0000007,2024-11-07,13.00000,2024-11-07T101108
ITRI0000007,2024-11-07,15.00000,2024-11-07T101104
ITRI0003004,2024-11-07,18.00000,2024-11-07T100041
ITRI0009001,2024-11-06,18.00000,2024-11-06T153822
ITRI0009001,2024-11-06,18.00000,2024-11-06T153822
ITRI0003003,2024-11-06,30.00000,2024-11-06T140446
ITRI0003003,2024-11-06,18.00000,2024-11-06T140438
ITRI0003003,2024-11-06,18.00000,2024-11-06T140359
ITRI0003003,2024-11-06,18.00000,2024-11-06T140352
ITRI0003003,2024-11-06,18.00000,2024-11-06T140341
ITRI0003003,2024-11-06,12.00000,2024-11-06T140303
ITRI0003003,2024-11-06,18.00000,2024-11-06T140247
ITRI0003003,2024-11-06,18.00000,2024-11-06T140239
ITRI0003003,2024-11-06,18.00000,2024-11-06T140226
ITRI0003003,2024-11-06,29.00000,2024-11-06T115452
ITRI0003003,2024-11-06,18.00000,2024-11-06T115446
ITRI0003003,2024-11-06,18.00000,2024-11-06T115406
ITRI0003003,2024-11-06,32.00000,2024-11-06T115358
ITRI0003003,2024-11-06,36.00000,2024-11-06T115243
ITRI0002002,2024-11-06,40.00000,2024-11-06T095903
ITRI0002002,2024-11-06,18.00000,2024-11-06T095721
ITRI0002002,2024-11-06,18.00000,2024-11-06T095650
ITRI0000007,2024-11-06,10.00000,2024-11-06T095602
ITRI0000007,2024-11-06,11.00000,2024-11-06T095518
ITRI0002002,2024-11-06,12.00000,2024-11-06T095342
ITRI0002002,2024-11-06,14.00000,2024-11-06T095248
ITRI0000007,2024-11-06,14.00000,2024-11-06T095234
ITRI0000007,2024-11-06,16.00000,2024-11-06T095225
ITRI0002002,2024-11-06,18.00000,2024-11-06T095221
ITRI0000007,2024-11-06,10.00000,2024-11-06T095052
ITRI0000007,2024-11-06,10.00000,2024-11-06T095048
ITRI0009001,2024-11-05,12.00000,2024-11-05T151913
ITRI0009001,2024-11-05,12.00000,2024-11-05T151913
ITRI0000007,2024-11-05,14.00000,2024-11-05T095715
ITRI0011001,2024-11-04,12.00000,2024-11-04T162527
ITRI0011001,2024-11-04,18.00000,2024-11-04T162449
ITRI0011001,2024-11-04,14.00000,2024-11-04T162443
ITRI0005001,2024-11-04,16.00000,2024-11-04T145727
ITRI0005002,2024-11-04,40.00000,2024-11-04T144627
ITRI0005002,2024-11-04,18.00000,2024-11-04T144313
ITRI0005002,2024-11-04,18.00000,2024-11-04T144155
ITRI0005001,2024-11-04,17.00000,2024-11-04T143938
ITRI0005002,2024-11-04,14.00000,2024-11-04T143733
ITRI0005001,2024-11-04,40.00000,2024-11-04T142809
ITRI0005001,2024-11-04,38.00000,2024-11-04T142805
ITRI0005001,2024-11-04,15.00000,2024-11-04T142746
ITRI0003003,2024-11-04,18.00000,2024-11-04T134357
ITRI0003003,2024-11-04,14.00000,2024-11-04T134318
ITRI0003003,2024-11-04,18.00000,2024-11-04T134237
ITRI0003003,2024-11-04,14.00000,2024-11-04T134126
ITRI0003003,2024-11-04,14.00000,2024-11-04T134052
ITRI0003003,2024-11-04,18.00000,2024-11-04T134045
ITRI0003003,2024-11-04,18.00000,2024-11-04T134010
ITRI0003003,2024-11-04,18.00000,2024-11-04T134005
ITRI0003003,2024-11-04,11.00000,2024-11-04T133908
ITRI0003003,2024-11-04,13.00000,2024-11-04T133836
ITRI0003003,2024-11-04,32.00000,2024-11-04T133806
ITRI0003003,2024-11-04,40.00000,2024-11-04T133800
ITRI0003003,2024-11-04,18.00000,2024-11-04T133728
ITRI0003003,2024-11-04,34.00000,2024-11-04T133648
ITRI0003003,2024-11-04,26.00000,2024-11-04T132903
ITRI0003003,2024-11-04,18.00000,2024-11-04T132647
ITRI0003003,2024-11-04,17.00000,2024-11-04T132641
ITRI0003003,2024-11-04,18.00000,2024-11-04T132633
ITRI0003003,2024-11-04,30.00000,2024-11-04T132600
ITRI0003003,2024-11-04,36.00000,2024-11-04T132522
ITRI0003003,2024-11-04,10.00000,2024-11-04T132511
ITRI0003003,2024-11-04,10.00000,2024-11-04T132443
ITRI0003003,2024-11-04,18.00000,2024-11-04T132438
ITRI0003003,2024-11-04,31.00000,2024-11-04T132331
ITRI0003003,2024-11-04,34.00000,2024-11-04T132324
ITRI0004002,2024-11-04,18.00000,2024-11-04T131704
ITRI0004002,2024-11-04,34.00000,2024-11-04T131636
ITRI0003003,2024-11-04,33.00000,2024-11-04T131108
ITRI0003003,2024-11-04,18.00000,2024-11-04T131045
ITRI0003003,2024-11-04,15.00000,2024-11-04T131007
ITRI0003003,2024-11-04,10.00000,2024-11-04T130955
ITRI0003003,2024-11-01,39.00000,2024-11-01T125625
ITRI0003003,2024-11-01,29.00000,2024-11-01T115433
ITRI0011002,2024-10-30,13.00000,2024-10-30T102357
ITRI0011002,2024-10-30,10.00000,2024-10-30T102014
ITRI0011002,2024-10-30,10.00000,2024-10-30T101828
ITRI0005003,2024-10-30,18.00000,2024-10-30T101715
ITRI0005003,2024-10-30,18.00000,2024-10-30T101710
ITRI0005003,2024-10-30,11.00000,2024-10-30T101646
ITRI0005003,2024-10-30,11.00000,2024-10-30T101641
ITRI0005003,2024-10-30,11.00000,2024-10-30T101613
ITRI0005003,2024-10-30,13.00000,2024-10-30T101608
ITRI0005003,2024-10-30,37.00000,2024-10-30T101540
ITRI0005003,2024-10-30,37.00000,2024-10-30T101531
ITRI0005003,2024-10-30,18.00000,2024-10-30T101504
ITRI0005003,2024-10-30,18.00000,2024-10-30T101450
ITRI0011002,2024-10-30,10.00000,2024-10-30T101343
ITRI0011002,2024-10-30,13.00000,2024-10-30T101338
ITRI0011002,2024-10-30,10.00000,2024-10-30T101333
ITRI0011002,2024-10-30,17.00000,2024-10-30T101303
ITRI0011002,2024-10-30,11.00000,2024-10-30T101255
ITRI0011002,2024-10-30,10.00000,2024-10-30T101147
ITRI0011002,2024-10-30,12.00000,2024-10-30T101142
ITRI0011002,2024-10-30,10.00000,2024-10-30T101137
ITRI0005003,2024-10-30,10.00000,2024-10-30T101115
ITRI0005003,2024-10-30,10.00000,2024-10-30T101106
ITRI0003003,2024-10-30,18.00000,2024-10-30T094538
ITRI0003003,2024-10-30,18.00000,2024-10-30T094532
ITRI0003003,2024-10-30,18.00000,2024-10-30T094527
ITRI0003003,2024-10-30,38.00000,2024-10-30T094322
ITRI0003003,2024-10-30,31.00000,2024-10-30T094115
ITRI0003003,2024-10-30,26.00000,2024-10-30T094108
ITRI0003003,2024-10-30,15.00000,2024-10-30T094038
ITRI0003003,2024-10-30,10.00000,2024-10-30T094027
ITRI0003003,2024-10-30,31.00000,2024-10-30T094000
ITRI0003003,2024-10-30,39.00000,2024-10-30T093918
ITRI0003003,2024-10-30,33.00000,2024-10-30T093912
ITRI0003003,2024-10-30,32.00000,2024-10-30T093708
ITRI0003003,2024-10-30,12.00000,2024-10-30T093620
ITRI0003003,2024-10-30,12.00000,2024-10-30T093549
ITRI0003003,2024-10-30,14.00000,2024-10-30T093518
ITRI0003003,2024-10-30,27.00000,2024-10-30T093512
ITRI0003003,2024-10-30,18.00000,2024-10-30T093507
ITRI0003003,2024-10-30,18.00000,2024-10-30T093434
ITRI0003003,2024-10-30,18.00000,2024-10-30T093425
ITRI0003003,2024-10-30,38.00000,2024-10-30T093349
ITRI0003003,2024-10-30,39.00000,2024-10-30T093343
ITRI0003003,2024-10-30,18.00000,2024-10-30T093312
ITRI0003003,2024-10-30,18.00000,2024-10-30T093307
ITRI0003003,2024-10-30,18.00000,2024-10-30T093303
ITRI0003003,2024-10-30,18.00000,2024-10-30T093236
ITRI0003003,2024-10-30,18.00000,2024-10-30T093232
ITRI0003003,2024-10-30,18.00000,2024-10-30T093152
ITRI0003004,2024-10-30,18.00000,2024-10-30T024518
ITRI0003004,2024-10-30,18.00000,2024-10-30T024515
ITRI0003004,2024-10-30,18.00000,2024-10-30T024511
ITRI0003004,2024-10-30,18.00000,2024-10-30T024507
ITRI0003004,2024-10-30,18.00000,2024-10-30T024504
ITRI0003004,2024-10-30,18.00000,2024-10-30T024500
ITRI0003004,2024-10-30,18.00000,2024-10-30T024456
ITRI0003004,2024-10-30,18.00000,2024-10-30T024452
ITRI0003004,2024-10-30,18.00000,2024-10-30T024448
ITRI0003004,2024-10-30,37.00000,2024-10-30T024437
ITRI0003004,2024-10-30,18.00000,2024-10-30T024427
ITRI0003004,2024-10-30,16.00000,2024-10-30T024345
ITRI0003004,2024-10-30,18.00000,2024-10-30T024253
ITRI0003004,2024-10-30,18.00000,2024-10-30T024249
ITRI0003004,2024-10-30,18.00000,2024-10-30T024245
ITRI0003004,2024-10-30,18.00000,2024-10-30T024242
ITRI0003004,2024-10-30,18.00000,2024-10-30T024238
ITRI0003004,2024-10-30,27.00000,2024-10-30T024235
ITRI0003004,2024-10-30,18.00000,2024-10-30T024231
ITRI0003004,2024-10-30,18.00000,2024-10-30T024210
ITRI0003004,2024-10-30,18.00000,2024-10-30T024152
ITRI0003004,2024-10-30,18.00000,2024-10-30T024148
ITRI0003004,2024-10-30,39.00000,2024-10-30T024141
ITRI0003004,2024-10-30,28.00000,2024-10-30T024138
ITRI0003004,2024-10-30,18.00000,2024-10-30T024134
ITRI0003004,2024-10-30,18.00000,2024-10-30T024129
ITRI0003004,2024-10-30,18.00000,2024-10-30T024101
ITRI0003004,2024-10-30,38.00000,2024-10-30T024058
ITRI0003004,2024-10-30,18.00000,2024-10-30T024054
ITRI0003004,2024-10-30,18.00000,2024-10-30T024050
ITRI0003004,2024-10-30,37.00000,2024-10-30T024047
ITRI0003004,2024-10-30,37.00000,2024-10-30T024011
ITRI0003004,2024-10-30,18.00000,2024-10-30T024007
ITRI0003004,2024-10-30,18.00000,2024-10-30T024003
ITRI0003004,2024-10-30,18.00000,2024-10-30T023959
ITRI0003004,2024-10-30,18.00000,2024-10-30T023956
ITRI0003004,2024-10-30,18.00000,2024-10-30T023952
ITRI0003004,2024-10-30,18.00000,2024-10-30T023949
ITRI0003004,2024-10-30,18.00000,2024-10-30T023945
ITRI0003004,2024-10-30,18.00000,2024-10-30T023941
ITRI0003004,2024-10-30,18.00000,2024-10-30T023938
ITRI0003004,2024-10-30,18.00000,2024-10-30T023934
ITRI0003004,2024-10-30,18.00000,2024-10-30T023928
ITRI0003004,2024-10-30,11.00000,2024-10-30T023824
ITRI0003004,2024-10-30,12.00000,2024-10-30T023821
ITRI0003004,2024-10-30,13.00000,2024-10-30T023817
ITRI0003004,2024-10-30,15.00000,2024-10-30T023751
ITRI0003004,2024-10-30,38.00000,2024-10-30T023748
ITRI0003004,2024-10-30,37.00000,2024-10-30T023744
ITRI0003004,2024-10-30,18.00000,2024-10-30T023740
ITRI0003004,2024-10-30,18.00000,2024-10-30T023734
ITRI0003004,2024-10-30,18.00000,2024-10-30T023706
ITRI0003004,2024-10-30,18.00000,2024-10-30T023702
ITRI0003004,2024-10-30,20.00000,2024-10-30T023658
ITRI0003004,2024-10-30,18.00000,2024-10-30T023640
ITRI0003004,2024-10-30,18.00000,2024-10-30T023632
ITRI0003004,2024-10-30,18.00000,2024-10-30T023629
ITRI0009001,2024-10-29,18.00000,2024-10-29T131133
ITRI0009001,2024-10-29,18.00000,2024-10-29T131133
ITRI0009001,2024-10-29,18.00000,2024-10-29T131124
ITRI0009001,2024-10-29,18.00000,2024-10-29T131124
ITRI0009001,2024-10-29,35.00000,2024-10-29T131100
ITRI0009001,2024-10-29,35.00000,2024-10-29T131100
ITRI0004003,2024-10-28,18.00000,2024-10-28T150439
ITRI0004003,2024-10-28,18.00000,2024-10-28T150407
ITRI0004003,2024-10-28,18.00000,2024-10-28T150356
ITRI0004003,2024-10-28,18.00000,2024-10-28T150237
ITRI0004003,2024-10-28,18.00000,2024-10-28T150104
ITRI0001001,2024-10-28,18.00000,2024-10-28T145647
ITRI0001001,2024-10-28,33.00000,2024-10-28T145611
ITRI0001001,2024-10-28,34.00000,2024-10-28T145544
ITRI0004002,2024-10-28,23.00000,2024-10-28T144554
ITRI0004003,2024-10-28,18.00000,2024-10-28T144434
ITRI0004003,2024-10-28,10.00000,2024-10-28T144405
ITRI0004003,2024-10-28,11.00000,2024-10-28T144359
ITRI0004002,2024-10-28,23.00000,2024-10-28T144244
ITRI0004003,2024-10-28,18.00000,2024-10-28T144321
ITRI0004003,2024-10-28,18.00000,2024-10-28T144316
ITRI0004003,2024-10-28,18.00000,2024-10-28T144243
ITRI0004003,2024-10-28,18.00000,2024-10-28T144207
ITRI0004003,2024-10-28,10.00000,2024-10-28T143659
ITRI0004003,2024-10-28,18.00000,2024-10-28T143654
ITRI0004003,2024-10-28,10.00000,2024-10-28T143622
ITRI0004003,2024-10-28,10.00000,2024-10-28T143542
ITRI0004003,2024-10-28,18.00000,2024-10-28T143222
ITRI0004002,2024-10-28,35.00000,2024-10-28T143102
ITRI0004003,2024-10-28,12.00000,2024-10-28T142912
ITRI0004002,2024-10-28,10.00000,2024-10-28T142825
ITRI0004003,2024-10-28,10.00000,2024-10-28T142608
ITRI0004002,2024-10-28,18.00000,2024-10-28T142526
ITRI0004002,2024-10-28,30.00000,2024-10-28T142328
ITRI0004003,2024-10-28,16.00000,2024-10-28T142057
ITRI0004002,2024-10-28,18.00000,2024-10-28T141927
ITRI0004003,2024-10-28,13.00000,2024-10-28T141936
ITRI0004002,2024-10-28,36.00000,2024-10-28T141807
ITRI0004002,2024-10-28,13.00000,2024-10-28T141646
ITRI0004003,2024-10-28,11.00000,2024-10-28T141713
ITRI0004003,2024-10-28,13.00000,2024-10-28T141506
ITRI0004002,2024-10-28,28.00000,2024-10-28T141309
ITRI0004003,2024-10-28,10.00000,2024-10-28T141243
ITRI0004003,2024-10-28,18.00000,2024-10-28T141032
ITRI0004002,2024-10-28,36.00000,2024-10-28T141004
ITRI0004003,2024-10-28,10.00000,2024-10-28T140737
ITRI0004003,2024-10-28,18.00000,2024-10-28T140700
ITRI0004003,2024-10-28,18.00000,2024-10-28T140336
ITRI0004003,2024-10-28,18.00000,2024-10-28T140303
ITRI0004003,2024-10-28,36.00000,2024-10-28T140228
ITRI0004002,2024-10-28,33.00000,2024-10-28T140103
ITRI0004002,2024-10-28,27.00000,2024-10-28T140035
ITRI0004003,2024-10-28,11.00000,2024-10-28T135948
ITRI0004002,2024-10-28,40.00000,2024-10-28T135928
ITRI0004003,2024-10-28,10.00000,2024-10-28T135722
ITRI0004002,2024-10-28,13.00000,2024-10-28T135553
ITRI0004003,2024-10-28,18.00000,2024-10-28T135423
ITRI0004003,2024-10-28,10.00000,2024-10-28T135308
ITRI0004003,2024-10-28,35.00000,2024-10-28T135302
ITRI0004003,2024-10-28,18.00000,2024-10-28T134849
ITRI0004003,2024-10-28,18.00000,2024-10-28T134808
ITRI0004003,2024-10-28,18.00000,2024-10-28T134658
ITRI0004003,2024-10-28,18.00000,2024-10-28T134428
ITRI0004003,2024-10-28,17.00000,2024-10-28T134422
ITRI0004003,2024-10-28,18.00000,2024-10-28T134229
ITRI0004003,2024-10-28,15.00000,2024-10-28T134223
ITRI0004003,2024-10-28,12.00000,2024-10-28T134040
ITRI0004003,2024-10-28,18.00000,2024-10-28T133955
ITRI0004003,2024-10-28,18.00000,2024-10-28T133755
ITRI0004002,2024-10-28,14.00000,2024-10-28T133456
ITRI0004002,2024-10-28,37.00000,2024-10-28T133318
ITRI0004003,2024-10-28,11.00000,2024-10-28T133459
ITRI0004003,2024-10-28,18.00000,2024-10-28T133413
ITRI0004002,2024-10-28,10.00000,2024-10-28T133220
ITRI0004002,2024-10-28,18.00000,2024-10-28T133020
ITRI0004003,2024-10-28,18.00000,2024-10-28T132921
ITRI0004003,2024-10-28,10.00000,2024-10-28T132916
ITRI0004003,2024-10-28,13.00000,2024-10-28T132850
ITRI0004003,2024-10-28,29.00000,2024-10-28T132759
ITRI0004002,2024-10-28,15.00000,2024-10-28T132617
ITRI0004003,2024-10-28,18.00000,2024-10-28T132728
