id,site_id,site_type,serial_number,lat,lng,isinside,city,town,road,address,addressAmenity,nominatimOSMdata,fixdate,Pipe_diameter,wav_data,error_code,leak_result,date,time,ai_result,leakreason,leakmanage,created,dip,env,pvc,tfc,fft_peak,memo
265360,ITRI_AI01,mobile,ITRI0001001,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T103158,OK,UK,2024-07-01,10:31:58.000000,81.00000,,,2024-07-01 02:32:12.514945,12.00000,1.00000,69.00000,17.00000,"[{""data"":""161.4363"",""hz"":""571.4286""},{""data"":""82.1631"",""hz"":""188.2353""},{""data"":""39.1486"",""hz"":""112.9412""}]",
265361,ITRI_AI01,mobile,ITRI0001001,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T103232,OK,UK,2024-07-01,10:32:32.000000,73.00000,,,2024-07-01 02:33:47.827794,11.00000,4.00000,62.00000,23.00000,"[{""data"":""79.1656"",""hz"":""623.3766""},{""data"":""41.9200"",""hz"":""208.6957""},{""data"":""9.1050"",""hz"":""125.0000""}]",
265362,ITRI_AI01,mobile,ITRI0001001,25.1473471000,121.7386603000,1,基隆市,牛稠港,通明街,基隆市牛稠港通明街,"","",0000-00-00,,2024-07-01T103339,OK,UK,2024-07-01,10:33:39.000000,75.00000,,,2024-07-01 02:33:50.350737,11.00000,4.00000,64.00000,22.00000,"[{""data"":""85.0174"",""hz"":""631.5789""},{""data"":""46.6484"",""hz"":""209.6070""},{""data"":""12.3750"",""hz"":""125.3264""}]",
265366,ITRI_AI01,mobile,ITRI0001001,25.1473520000,121.7386558000,1,基隆市,牛稠港,通明街,基隆市牛稠港通明街,"","",0000-00-00,,2024-07-01T103444,OK,UK,2024-07-01,10:34:44.000000,71.00000,,,2024-07-01 02:34:52.660574,10.00000,5.00000,61.00000,24.00000,"[{""data"":""120.1955"",""hz"":""578.3133""},{""data"":""38.1225"",""hz"":""198.3471""},{""data"":""16.8218"",""hz"":""122.1374""},{""data"":""2.1846"",""hz"":""103.2258""}]",
265377,ITRI_AI01,mobile,ITRI0003003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T110709,OK,UK,2024-07-01,11:07:09.000000,76.00000,,,2024-07-01 03:07:22.153579,12.00000,3.00000,64.00000,21.00000,"[{""data"":""64.6319"",""hz"":""558.1395""},{""data"":""23.2979"",""hz"":""186.0465""},{""data"":""9.7561"",""hz"":""111.3689""}]",
265378,ITRI_AI01,mobile,ITRI0003003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T110718,OK,UK,2024-07-01,11:07:18.000000,81.00000,,,2024-07-01 03:07:29.091597,13.00000,2.00000,68.00000,18.00000,"[{""data"":""60.3114"",""hz"":""558.1395""},{""data"":""24.4270"",""hz"":""183.9080""},{""data"":""8.4036"",""hz"":""111.1111""}]",
265379,ITRI_AI01,mobile,ITRI0003003,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-01T110723,OK,UK,2024-07-01,11:07:23.000000,77.00000,,,2024-07-01 03:07:32.930202,12.00000,3.00000,65.00000,20.00000,"[{""data"":""56.9540"",""hz"":""558.1395""},{""data"":""22.3347"",""hz"":""183.2061""},{""data"":""7.5491"",""hz"":""110.5991""}]",
265700,AI_Luna,mobile,ITRI0001002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-02T105852,OK,UK,2024-07-02,10:58:52.000000,83.00000,,,2024-07-02 02:59:01.869553,12.00000,1.00000,71.00000,16.00000,"[{""data"":""80.6691"",""hz"":""545.4545""},{""data"":""4.9756"",""hz"":""196.7213""},{""data"":""9.8294"",""hz"":""150.9434""},{""data"":""9.9957"",""hz"":""114.2857""}]",
265701,AI_Luna,mobile,ITRI0001002,25.0769160000,121.6419050000,0,新北市,汐止區,伯爵街12巷,汐止區伯爵街12巷,"","{""place_id"":232358691,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":98496663,""lat"":""25.076930521403323"",""lon"":""121.641904239014"",""category"":""highway"",""type"":""service"",""place_rank"":27,""importance"":0.07500999999999991,""addresstype"":""road"",""name"":""伯爵街12巷"",""display_name"":""伯爵街12巷, 湖興里, 汐止區, 新北市, 22146, 臺灣"",""address"":{""road"":""伯爵街12巷"",""neighbourhood"":""湖興里"",""suburb"":""汐止區"",""city"":""新北市"",""ISO3166-2-lvl4"":""TW-NWT"",""postcode"":""22146"",""country"":""臺灣"",""country_code"":""tw""},""boundingbox"":[""25.0769277"",""25.0779609"",""121.6411199"",""121.6429292""]}",0000-00-00,,2024-07-02T105950,OK,UK,2024-07-02,10:59:50.000000,82.00000,,,2024-07-02 02:59:58.479684,12.00000,1.00000,70.00000,17.00000,"[{""data"":""75.6612"",""hz"":""564.7059""},{""data"":""19.3748"",""hz"":""200.0000""},{""data"":""6.6556"",""hz"":""119.1067""}]",
265746,AI01,mobile,ITRI0005001,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-02T141307,OK,UK,2024-07-02,14:13:07.000000,75.00000,,,2024-07-02 06:13:14.841249,0.00000,0.00000,75.00000,25.00000,"[{""data"":""216.5060"",""hz"":""578.3133""},{""data"":""50.2900"",""hz"":""196.7213""},{""data"":""9.6094"",""hz"":""121.2121""}]",
266123,AI_Cici,mobile,ITRI0002002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T092448,OK,UK,2024-07-04,09:24:48.000000,77.00000,,,2024-07-04 01:24:57.634553,12.00000,2.00000,65.00000,20.00000,"[{""data"":""91.8562"",""hz"":""484.8485""},{""data"":""4.4250"",""hz"":""168.4211""},{""data"":""3.3698"",""hz"":""134.0782""},{""data"":""5.9593"",""hz"":""103.4483""}]",
266124,AI_Cici,mobile,ITRI0002002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T092454,OK,UK,2024-07-04,09:24:54.000000,78.00000,,,2024-07-04 01:25:00.511554,12.00000,2.00000,66.00000,20.00000,"[{""data"":""105.3604"",""hz"":""494.8454""},{""data"":""13.4245"",""hz"":""161.0738""}]",
266125,AI_Cici,mobile,ITRI0002002,25.0129650000,121.3128570000,0,桃園市,桃園區,坤成街105巷,大興里坤成街105巷14號號,"","{""place_id"":201720436,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""node"",""osm_id"":11193207927,""lat"":""25.012993"",""lon"":""121.312969"",""category"":""place"",""type"":""house"",""place_rank"":30,""importance"":6.492027161054425e-05,""addresstype"":""place"",""name"":"""",""display_name"":""14號, 坤成街105巷, 大興里, 桃園區, 桃園市, 330, 臺灣"",""address"":{""house_number"":""14號"",""road"":""坤成街105巷"",""suburb"":""大興里"",""town"":""桃園區"",""city"":""桃園市"",""ISO3166-2-lvl4"":""TW-TAO"",""postcode"":""330"",""country"":""臺灣"",""country_code"":""tw""},""boundingbox"":[""25.0129430"",""25.0130430"",""121.3129190"",""121.3130190""]}",0000-00-00,,2024-07-04T092508,OK,UK,2024-07-04,09:25:08.000000,78.00000,,,2024-07-04 01:25:19.238134,12.00000,2.00000,66.00000,20.00000,"[{""data"":""96.4061"",""hz"":""505.2632""},{""data"":""10.6470"",""hz"":""167.8322""},{""data"":""1.6302"",""hz"":""105.2632""}]",
266127,AI_Cici,mobile,ITRI0002002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T092524,OK,UK,2024-07-04,09:25:24.000000,76.00000,,,2024-07-04 01:25:42.961565,12.00000,3.00000,64.00000,21.00000,"[{""data"":""119.2167"",""hz"":""480.0000""},{""data"":""19.9446"",""hz"":""164.9485""},{""data"":""3.9363"",""hz"":""100.0000""},{""data"":""0.4496"",""hz"":""95.6175""}]",
266145,AI01,mobile,ITRI0000005,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T100145,OK,UK,2024-07-04,10:01:45.000000,74.00000,,,2024-07-04 02:02:20.606084,11.00000,4.00000,63.00000,22.00000,"[{""data"":""59.2400"",""hz"":""500.0000""},{""data"":""19.6443"",""hz"":""181.1321""},{""data"":""3.9577"",""hz"":""139.9417""},{""data"":""15.0703"",""hz"":""114.2857""}]",
266146,AI01,mobile,ITRI0000005,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T100145,OK,UK,2024-07-04,10:01:45.000000,74.00000,,,2024-07-04 02:02:21.006787,11.00000,4.00000,63.00000,22.00000,"[{""data"":""59.2400"",""hz"":""500.0000""},{""data"":""19.6443"",""hz"":""181.1321""},{""data"":""3.9577"",""hz"":""139.9417""},{""data"":""15.0703"",""hz"":""114.2857""}]",
266147,AI01,mobile,ITRI0000005,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T100216,OK,UK,2024-07-04,10:02:16.000000,73.00000,,,2024-07-04 02:02:23.906600,11.00000,4.00000,62.00000,22.00000,"[{""data"":""62.0660"",""hz"":""500.0000""},{""data"":""25.2571"",""hz"":""184.6154""},{""data"":""10.8231"",""hz"":""138.3285""},{""data"":""16.0727"",""hz"":""114.0143""}]",
266148,AI01,mobile,ITRI0000005,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T100216,OK,UK,2024-07-04,10:02:16.000000,73.00000,,,2024-07-04 02:02:25.954252,11.00000,4.00000,62.00000,22.00000,"[{""data"":""62.0660"",""hz"":""500.0000""},{""data"":""25.2571"",""hz"":""184.6154""},{""data"":""10.8231"",""hz"":""138.3285""},{""data"":""16.0727"",""hz"":""114.0143""}]",
266153,AI01,mobile,ITRI0000005,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T100303,OK,UK,2024-07-04,10:03:03.000000,73.00000,,,2024-07-04 02:03:11.878180,11.00000,4.00000,62.00000,23.00000,"[{""data"":""66.5659"",""hz"":""452.8302""},{""data"":""22.2117"",""hz"":""154.8387""},{""data"":""1.7481"",""hz"":""110.0917""}]",
266154,AI01,mobile,ITRI0000005,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T100303,OK,UK,2024-07-04,10:03:03.000000,73.00000,,,2024-07-04 02:03:12.229804,11.00000,4.00000,62.00000,23.00000,"[{""data"":""66.5659"",""hz"":""452.8302""},{""data"":""22.2117"",""hz"":""154.8387""},{""data"":""1.7481"",""hz"":""110.0917""}]",
266155,AI01,mobile,ITRI0000005,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T100306,OK,UK,2024-07-04,10:03:06.000000,72.00000,,,2024-07-04 02:03:15.197828,10.00000,4.00000,62.00000,24.00000,"[{""data"":""63.0635"",""hz"":""452.8302""},{""data"":""19.1446"",""hz"":""153.3546""},{""data"":""2.8767"",""hz"":""107.8652""}]",
266156,AI01,mobile,ITRI0000005,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-04T100306,OK,UK,2024-07-04,10:03:06.000000,72.00000,,,2024-07-04 02:03:17.266635,10.00000,4.00000,62.00000,24.00000,"[{""data"":""63.0635"",""hz"":""452.8302""},{""data"":""19.1446"",""hz"":""153.3546""},{""data"":""2.8767"",""hz"":""107.8652""}]",
266643,ITRI_AI01,mobile,ITRI0003003,24.9020280000,120.9851030000,0,新竹縣,新豐鄉,新市路108巷,新市路108巷,"","{""place_id"":231734465,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":255790990,""lat"":""24.901991904418193"",""lon"":""120.98512085705651"",""category"":""highway"",""type"":""service"",""place_rank"":27,""importance"":0.07500999999999991,""addresstype"":""road"",""name"":""新市路108巷"",""display_name"":""新市路108巷, 新庄子, 重興村, 新豐鄉, 新竹縣, 30441, 臺灣"",""address"":{""road"":""新市路108巷"",""hamlet"":""新庄子"",""village"":""重興村"",""town"":""新豐鄉"",""county"":""新竹縣"",""ISO3166-2-lvl4"":""TW-HSQ"",""postcode"":""30441"",""country"":""臺灣"",""country_code"":""tw""},""boundingbox"":[""24.9018773"",""24.9021254"",""120.9848892"",""120.9853907""]}",0000-00-00,,2024-07-05T022853,OK,UK,2024-07-05,02:28:53.000000,75.00000,,,2024-07-04 18:29:03.146601,11.00000,3.00000,64.00000,22.00000,"[{""data"":""119.5377"",""hz"":""461.5385""},{""data"":""48.3593"",""hz"":""158.4158""}]",
266644,ITRI_AI01,mobile,ITRI0003003,24.9020660000,120.9851020000,0,新竹縣,新豐鄉,新市路108巷,新市路108巷,"","{""place_id"":231734465,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":255790990,""lat"":""24.901998978603068"",""lon"":""120.98513515654751"",""category"":""highway"",""type"":""service"",""place_rank"":27,""importance"":0.07500999999999991,""addresstype"":""road"",""name"":""新市路108巷"",""display_name"":""新市路108巷, 新庄子, 重興村, 新豐鄉, 新竹縣, 30441, 臺灣"",""address"":{""road"":""新市路108巷"",""hamlet"":""新庄子"",""village"":""重興村"",""town"":""新豐鄉"",""county"":""新竹縣"",""ISO3166-2-lvl4"":""TW-HSQ"",""postcode"":""30441"",""country"":""臺灣"",""country_code"":""tw""},""boundingbox"":[""24.9018773"",""24.9021254"",""120.9848892"",""120.9853907""]}",0000-00-00,,2024-07-05T022858,OK,UK,2024-07-05,02:28:58.000000,72.00000,,,2024-07-04 18:29:08.612113,10.00000,4.00000,62.00000,23.00000,"[{""data"":""131.6907"",""hz"":""470.5882""},{""data"":""59.8316"",""hz"":""158.9404""}]",
266645,ITRI_AI01,mobile,ITRI0003003,24.9020660000,120.9850970000,0,新竹縣,新豐鄉,新市路108巷,新市路108巷,"","{""place_id"":231734465,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright"",""osm_type"":""way"",""osm_id"":255790990,""lat"":""24.901996991383438"",""lon"":""120.98513113965656"",""category"":""highway"",""type"":""service"",""place_rank"":27,""importance"":0.07500999999999991,""addresstype"":""road"",""name"":""新市路108巷"",""display_name"":""新市路108巷, 新庄子, 重興村, 新豐鄉, 新竹縣, 30441, 臺灣"",""address"":{""road"":""新市路108巷"",""hamlet"":""新庄子"",""village"":""重興村"",""town"":""新豐鄉"",""county"":""新竹縣"",""ISO3166-2-lvl4"":""TW-HSQ"",""postcode"":""30441"",""country"":""臺灣"",""country_code"":""tw""},""boundingbox"":[""24.9018773"",""24.9021254"",""120.9848892"",""120.9853907""]}",0000-00-00,,2024-07-05T022903,OK,UK,2024-07-05,02:29:03.000000,73.00000,,,2024-07-04 18:29:12.308583,10.00000,4.00000,63.00000,22.00000,"[{""data"":""131.2325"",""hz"":""470.5882""},{""data"":""59.0724"",""hz"":""160.0000""}]",
266880,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111623,OK,UK,2024-07-05,11:16:23.000000,77.00000,,,2024-07-05 03:16:30.039485,12.00000,2.00000,65.00000,20.00000,"[{""data"":""69.7623"",""hz"":""545.4545""},{""data"":""38.5163"",""hz"":""188.9764""},{""data"":""24.3214"",""hz"":""112.4122""}]",
266881,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111627,OK,UK,2024-07-05,11:16:27.000000,77.00000,,,2024-07-05 03:16:37.642598,12.00000,3.00000,65.00000,20.00000,"[{""data"":""62.8371"",""hz"":""551.7241""},{""data"":""36.5089"",""hz"":""191.2351""},{""data"":""17.9537"",""hz"":""113.4752""}]",
266882,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111656,OK,UK,2024-07-05,11:16:56.000000,71.00000,,,2024-07-05 03:17:02.733591,11.00000,5.00000,60.00000,24.00000,"[{""data"":""55.1505"",""hz"":""571.4286""},{""data"":""31.5290"",""hz"":""200.0000""},{""data"":""14.3853"",""hz"":""121.2121""}]",
266884,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111704,OK,UK,2024-07-05,11:17:04.000000,75.00000,,,2024-07-05 03:17:11.422724,11.00000,3.00000,64.00000,22.00000,"[{""data"":""55.3490"",""hz"":""578.3133""},{""data"":""33.6780"",""hz"":""201.6807""},{""data"":""16.9413"",""hz"":""121.5190""}]",
266885,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111730,OK,UK,2024-07-05,11:17:30.000000,83.00000,,,2024-07-05 03:17:37.573632,13.00000,1.00000,70.00000,16.00000,"[{""data"":""96.9382"",""hz"":""533.3333""},{""data"":""29.0419"",""hz"":""183.2061""},{""data"":""11.3397"",""hz"":""111.1111""}]",
266886,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111734,OK,UK,2024-07-05,11:17:34.000000,82.00000,,,2024-07-05 03:17:41.514741,13.00000,1.00000,69.00000,17.00000,"[{""data"":""98.7200"",""hz"":""527.4725""},{""data"":""28.5306"",""hz"":""179.7753""},{""data"":""9.3649"",""hz"":""110.3448""}]",
266887,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111800,OK,UK,2024-07-05,11:18:00.000000,80.00000,,,2024-07-05 03:18:08.282731,13.00000,2.00000,67.00000,19.00000,"[{""data"":""75.4124"",""hz"":""521.7391""},{""data"":""31.6356"",""hz"":""188.2353""},{""data"":""16.0177"",""hz"":""112.4122""}]",
266889,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111839,OK,UK,2024-07-05,11:18:39.000000,72.00000,,,2024-07-05 03:18:46.430478,12.00000,5.00000,60.00000,23.00000,"[{""data"":""37.2193"",""hz"":""521.7391""},{""data"":""15.0373"",""hz"":""298.1366""},{""data"":""21.1296"",""hz"":""186.0465""},{""data"":""12.9202"",""hz"":""111.6279""}]",
266891,AI01,mobile,ITRI0003002,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-05T111848,OK,UK,2024-07-05,11:18:48.000000,73.00000,,,2024-07-05 03:19:00.318406,12.00000,5.00000,61.00000,23.00000,"[{""data"":""43.5541"",""hz"":""527.4725""},{""data"":""14.6515"",""hz"":""290.9091""},{""data"":""27.4813"",""hz"":""186.0465""},{""data"":""18.8480"",""hz"":""112.4122""}]",
266906,AI01,mobile,ITRI0002001,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-08T090619,OK,UK,2024-07-08,09:06:19.000000,72.00000,,,2024-07-08 01:07:02.986879,12.00000,5.00000,60.00000,23.00000,"[{""data"":""44.9994"",""hz"":""516.1290""},{""data"":""20.2449"",""hz"":""171.4286""},{""data"":""10.8768"",""hz"":""103.2258""}]",
266944,ITRI_AI01,mobile,ITRI0001001,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-08T102429,OK,UK,2024-07-08,10:24:29.000000,73.00000,,,2024-07-08 02:50:06.388047,11.00000,4.00000,62.00000,23.00000,"[{""data"":""54.7899"",""hz"":""527.4725""},{""data"":""5.1085"",""hz"":""203.3898""},{""data"":""0.9870"",""hz"":""156.3518""},{""data"":""1.1215"",""hz"":""128.3422""},{""data"":""0.3036"",""hz"":""112.9412""}]",
266945,ITRI_AI01,mobile,ITRI0001001,0.0000000000,0.0000000000,1,"",[未知鄉鎮],[未知道路],"","","",0000-00-00,,2024-07-08T105006,OK,UK,2024-07-08,10:50:06.000000,72.00000,,,2024-07-08 02:50:15.240108,11.00000,5.00000,61.00000,24.00000,"[{""data"":""50.9186"",""hz"":""527.4725""},{""data"":""3.0984"",""hz"":""205.1282""},{""data"":""3.1536"",""hz"":""160.5351""},{""data"":""1.2002"",""hz"":""128.0000""},{""data"":""0.2138"",""hz"":""110.5991""}]",
